Date;Load
2015-01-01;5686686080
2015-01-02;6752007030
2015-01-03;6605796020
2015-01-04;6273091530
2015-01-05;6760770300
2015-01-06;6053719220
2015-01-07;7577313500
2015-01-08;7847907690
2015-01-09;7745038340
2015-01-10;6921901820
2015-01-11;6423158620
2015-01-12;7587876270
2015-01-13;7688083230
2015-01-14;7689565380
2015-01-15;7656371380
2015-01-16;7670917760
2015-01-17;6999959090
2015-01-18;6696533030
2015-01-19;7914021930
2015-01-20;8142907390
2015-01-21;8171283380
2015-01-22;8102942520
2015-01-23;7989244190
2015-01-24;7160792850
2015-01-25;6544822880
2015-01-26;7788429260
2015-01-27;7875953920
2015-01-28;7814912750
2015-01-29;7762924490
2015-01-30;7604060790
2015-01-31;6841214410
2015-02-01;6471543800
2015-02-02;7881108250
2015-02-03;8048011640
2015-02-04;8213236620
2015-02-05;8178920230
2015-02-06;8218168140
2015-02-07;7478400370
2015-02-08;6842324870
2015-02-09;8065855800
2015-02-10;8129883370
2015-02-11;8023325150
2015-02-12;7956146720
2015-02-13;7744710230
2015-02-14;6935125690
2015-02-15;6307515710
2015-02-16;7415172730
2015-02-17;7700463960
2015-02-18;7646168010
2015-02-19;7602114500
2015-02-20;7603685920
2015-02-21;6844146630
2015-02-22;6306040380
2015-02-23;7457650980
2015-02-24;7645356120
2015-02-25;7596302380
2015-02-26;7447359690
2015-02-27;7273292260
2015-02-28;6511360680
2015-03-01;5970581230
2015-03-02;7023784390
2015-03-03;7094292130
2015-03-04;7197373670
2015-03-05;7264651790
2015-03-06;7198212390
2015-03-07;6348609500
2015-03-08;5851935930
2015-03-09;6966228970
2015-03-10;7071527790
2015-03-11;7029290500
2015-03-12;6991700610
2015-03-13;7035974240
2015-03-14;6464495740
2015-03-15;6037553410
2015-03-16;7169392730
2015-03-17;7341272630
2015-03-18;7388846200
2015-03-19;6861026640
2015-03-20;7085861200
2015-03-21;6555646700
2015-03-22;6088467430
2015-03-23;7313511010
2015-03-24;7490124640
2015-03-25;7430564500
2015-03-26;7351054170
2015-03-27;7082239910
2015-03-28;6214169290
2015-03-29;5366177380
2015-03-30;6508887050
2015-03-31;6584089480
2015-04-01;6485963950
2015-04-02;5718915000
2015-04-03;5187741140
2015-04-04;5471044250
2015-04-05;5223214170
2015-04-06;5732223710
2015-04-07;6533450240
2015-04-08;6753981330
2015-04-09;6830267160
2015-04-10;6768348180
2015-04-11;6118522080
2015-04-12;5574374780
2015-04-13;6494297100
2015-04-14;6677156250
2015-04-15;6773426680
2015-04-16;6776416750
2015-04-17;6692920260
2015-04-18;5988487230
2015-04-19;5489475150
2015-04-20;6504807890
2015-04-21;6642582560
2015-04-22;6621555980
2015-04-23;6502838530
2015-04-24;6548976450
2015-04-25;5990593730
2015-04-26;5546231680
2015-04-27;6553218300
2015-04-28;6626172110
2015-04-29;6658135700
2015-04-30;6663444960
2015-05-01;5445360690
2015-05-02;5649192010
2015-05-03;5460566230
2015-05-04;6587231170
2015-05-05;6736958820
2015-05-06;6705885010
2015-05-07;6703759480
2015-05-08;6742001210
2015-05-09;6084299870
2015-05-10;5580569690
2015-05-11;6689003220
2015-05-12;6933438470
2015-05-13;7036200860
2015-05-14;7176842740
2015-05-15;6739983780
2015-05-16;6106000330
2015-05-17;5613934690
2015-05-18;6731728520
2015-05-19;6852709900
2015-05-20;6699857180
2015-05-21;6653159570
2015-05-22;6645970510
2015-05-23;6018775210
2015-05-24;5462318590
2015-05-25;6515106710
2015-05-26;6715273900
2015-05-27;6783569710
2015-05-28;6871937080
2015-05-29;6787183980
2015-05-30;6090061160
2015-05-31;5580997310
2015-06-01;6669690120
2015-06-02;6986260570
2015-06-03;7068417590
2015-06-04;6895563560
2015-06-05;7011940800
2015-06-06;6392596450
2015-06-07;5840610490
2015-06-08;7042964140
2015-06-09;7161821720
2015-06-10;7156515040
2015-06-11;7013076500
2015-06-12;6845018050
2015-06-13;6094637620
2015-06-14;5523647420
2015-06-15;6588674790
2015-06-16;6668179300
2015-06-17;6767175340
2015-06-18;6864113370
2015-06-19;6975950020
2015-06-20;6379547000
2015-06-21;5859673780
2015-06-22;7043206080
2015-06-23;7063926910
2015-06-24;6668416220
2015-06-25;7127756450
2015-06-26;7290469210
2015-06-27;6768616240
2015-06-28;6290203870
2015-06-29;7572987450
2015-06-30;7800281340
2015-07-01;7718309300
2015-07-02;7601345510
2015-07-03;7659049390
2015-07-04;6901068460
2015-07-05;6487103190
2015-07-06;7854716260
2015-07-07;8169556620
2015-07-08;8113018920
2015-07-09;7934929900
2015-07-10;7818040930
2015-07-11;6948080070
2015-07-12;6380361760
2015-07-13;7762260710
2015-07-14;8003729060
2015-07-15;8045942300
2015-07-16;8026591580
2015-07-17;7994225990
2015-07-18;7063159370
2015-07-19;6409087230
2015-07-20;7910253610
2015-07-21;8143192400
2015-07-22;8045282180
2015-07-23;8002984410
2015-07-24;7920891000
2015-07-25;6829104740
2015-07-26;6294273990
2015-07-27;7659875020
2015-07-28;7830198280
2015-07-29;7934346890
2015-07-30;7694250890
2015-07-31;7295054620
2015-08-01;6346525660
2015-08-02;5932450340
2015-08-03;7259036420
2015-08-04;7366824260
2015-08-05;7446638690
2015-08-06;7430509970
2015-08-07;7497941880
2015-08-08;6622298670
2015-08-09;5916278670
2015-08-10;6942961580
2015-08-11;7122523680
2015-08-12;7161789170
2015-08-13;7014461740
2015-08-14;6628840560
2015-08-15;5783944230
2015-08-16;5538836310
2015-08-17;6524120840
2015-08-18;6609828820
2015-08-19;6636457290
2015-08-20;6858040240
2015-08-21;6985444260
2015-08-22;6309834660
2015-08-23;5722528860
2015-08-24;6636443210
2015-08-25;6886815090
2015-08-26;7059259740
2015-08-27;7169643860
2015-08-28;7210247160
2015-08-29;6553147640
2015-08-30;6097379110
2015-08-31;7331956410
2015-09-01;7325436380
2015-09-02;7260206440
2015-09-03;7080498560
2015-09-04;6871574410
2015-09-05;6037777840
2015-09-06;5517636810
2015-09-07;6556832760
2015-09-08;6598310160
2015-09-09;6782936470
2015-09-10;6845598830
2015-09-11;6567916760
2015-09-12;6090149430
2015-09-13;5593056430
2015-09-14;6587381780
2015-09-15;6766747240
2015-09-16;6858984260
2015-09-17;6714707010
2015-09-18;6652464160
2015-09-19;6004076610
2015-09-20;5523875380
2015-09-21;6655953230
2015-09-22;6844654590
2015-09-23;6809846860
2015-09-24;6718317390
2015-09-25;6697653910
2015-09-26;6006943070
2015-09-27;5502169140
2015-09-28;6570407550
2015-09-29;6703339300
2015-09-30;6680428440
2015-10-01;6686425990
2015-10-02;6679099680
2015-10-03;5964960500
2015-10-04;5534968040
2015-10-05;6697139420
2015-10-06;6770969500
2015-10-07;6687282520
2015-10-08;6662048030
2015-10-09;6471205740
2015-10-10;5844353260
2015-10-11;5397994480
2015-10-12;5525625870
2015-10-13;6522075460
2015-10-14;6613018490
2015-10-15;6606597140
2015-10-16;6616942080
2015-10-17;5964425440
2015-10-18;5498999100
2015-10-19;6613977840
2015-10-20;6739296650
2015-10-21;6683330980
2015-10-22;6668634030
2015-10-23;6658657860
2015-10-24;5951344240
2015-10-25;5699024170
2015-10-26;6595023740
2015-10-27;6747999480
2015-10-28;6737637950
2015-10-29;6748241210
2015-10-30;6666943410
2015-10-31;5951864330
2015-11-01;5443423050
2015-11-02;6286868250
2015-11-03;6759495050
2015-11-04;6804046090
2015-11-05;6753961860
2015-11-06;6718712410
2015-11-07;5957580200
2015-11-08;5475407020
2015-11-09;6450613000
2015-11-10;6703158820
2015-11-11;6740936220
2015-11-12;6765297730
2015-11-13;6759079080
2015-11-14;5989376640
2015-11-15;5568376670
2015-11-16;6722105030
2015-11-17;6943175890
2015-11-18;6963373410
2015-11-19;6914755520
2015-11-20;6894498900
2015-11-21;6230683740
2015-11-22;5874105730
2015-11-23;7221211920
2015-11-24;7529734230
2015-11-25;7466383380
2015-11-26;7377439500
2015-11-27;7265214260
2015-11-28;6513878850
2015-11-29;6060393550
2015-11-30;7325019430
2015-12-01;7507170660
2015-12-02;7522111350
2015-12-03;7436595610
2015-12-04;7329567620
2015-12-05;6587352290
2015-12-06;6055441010
2015-12-07;6402285090
2015-12-08;6130865080
2015-12-09;7180362930
2015-12-10;7341807120
2015-12-11;7339502470
2015-12-12;6650031150
2015-12-13;6218833510
2015-12-14;7375261810
2015-12-15;7418892870
2015-12-16;7331266940
2015-12-17;7312338500
2015-12-18;7163710670
2015-12-19;6516942690
2015-12-20;6049007700
2015-12-21;7058167920
2015-12-22;7143196780
2015-12-23;6979318940
2015-12-24;6111653500
2015-12-25;5194062620
2015-12-26;5737939600
2015-12-27;5722888510
2015-12-28;6530225570
2015-12-29;6500425760
2015-12-30;6474225120
2015-12-31;5963496100
2016-01-01;5155814730
2016-01-02;5781842700
2016-01-03;5843787250
2016-01-04;6665651060
2016-01-05;6630201470
2016-01-06;5859270740
2016-01-07;7105835860
2016-01-08;7118750810
2016-01-09;6488929270
2016-01-10;6145149940
2016-01-11;7234545850
2016-01-12;7405061440
2016-01-13;7563740680
2016-01-14;7635460010
2016-01-15;7571265010
2016-01-16;6885051760
2016-01-17;6546461550
2016-01-18;7698730200
2016-01-19;7775505590
2016-01-20;7733622280
2016-01-21;7708952840
2016-01-22;7571470640
2016-01-23;6673312140
2016-01-24;6144136970
2016-01-25;7254578080
2016-01-26;7440370760
2016-01-27;7432865810
2016-01-28;7421671200
2016-01-29;7369746960
